studynumber,Measure_Year,MiddleClimate,Rs_Norm,Tm,Pm,NoObs
2382,1999,Cf,0.903,5.9,39.6,24
2382,1999,Cf,3.538,12.3,232.4,24
2382,1999,Cf,2.433,13.7,4.4,24
2382,1999,Cf,1.82,9.5,52.3,24
2382,1999,Cf,1.762,2.1,25.9,24
2382,2000,Cf,0.703,-0.5,7.2,24
2382,2000,Cf,0.764,4.4,55.2,24
2382,2000,Cf,0.903,7.8,71.4,24
2382,2000,Cf,3.538,12.2,50.6,24
2382,2000,Cf,7.143,18.7,54.3,24
2382,2000,Cf,8.511,22.2,161.1,24
2382,2000,Cf,8.333,26.3,67.9,24
2382,2000,Cf,6.314,29.3,14.2,24
2382,2000,Cf,4.274,22.3,25,24
2382,2000,Cf,2.433,15.7,65.5,24
2382,2000,Cf,1.82,2.1,33.2,24
2382,2000,Cf,1.762,-6.1,13.3,24
2382,1999,Cf,8.333,27.2,41.4,24
2382,1999,Cf,8.511,21.5,213.5,24
2382,1999,Cf,7.143,17.4,140.7,24
2382,1999,Cf,4.274,18.4,76.3,24
2382,1999,Cf,6.314,24.5,67.8,24
2403,1999,B,1.979,13.7,76.5,15
2403,1999,B,1.3,19.5,42.7,15
2403,1999,B,2.171,24.2,52.8,15
2403,1999,B,3.872,22.1,60.8,15
2403,1999,B,2.752,15.3,48.1,15
2403,1999,B,1.071,10.6,4.8,15
2403,1999,B,0.679,6,5.7,15
2403,2000,B,0.165,2.8,3,15
2403,2000,B,0.398,4.9,24.1,15
2403,2000,B,0.531,10.6,23.3,15
2403,2000,B,1.124,16.5,46,15
2403,2000,B,1.132,20.7,18.1,15
2403,2000,B,1.265,25.1,33.6,15
2403,2000,B,1.765,17.3,32.7,15
2403,2000,B,1.226,10.3,20.5,15
2412,1997,Df,5.792,17.5,70.9,30
2412,1997,Df,5.013,16.7,24.1,30
2412,1997,Df,2.84,9.3,84.1,30
2412,1997,Df,1.728,1.2,45.8,30
2412,1997,Df,0.667,-1.6,39,30
2412,1997,Df,0.274,-5,19.3,30
2412,1998,Df,0.054,-4.5,43.5,30
2412,1998,Df,0.274,-7.5,41.7,30
2412,1998,Df,0.268,-7.1,16.1,30
2412,1998,Df,0.543,1.6,8.9,30
2412,1998,Df,1.433,7.7,41.1,30
2412,1998,Df,4.326,13.2,82.3,30
2412,1998,Df,5.93,15.2,99.9,30
2412,1998,Df,5.544,12.2,80.3,30
2412,1998,Df,3.37,9.9,30.8,30
2412,1998,Df,2.035,4.4,60.8,30
2412,1998,Df,1.034,-4.3,7.4,30
2412,1998,Df,0.471,-4.9,47.9,30
2412,1999,Df,0.248,-8.7,36.1,30
2412,1999,Df,0.006,-9.4,62.6,30
2412,1999,Df,0.019,-3.3,32.6,30
2412,1999,Df,0.458,3.7,37.1,30
2412,1999,Df,1.243,6.2,23.8,30
2412,1999,Df,2.742,17.1,34.4,30
2412,1999,Df,4.346,16.3,52.2,30
2412,1999,Df,3.96,12.9,46.1,30
2412,1999,Df,2.899,10.6,30.3,30
2412,1999,Df,2.009,5.1,97.6,30
2412,1999,Df,1.224,0.6,26.9,30
2412,1999,Df,0.497,-4.9,91,30
2432,1999,Cs,0.949,3.4,35.6,11
2432,1999,Cs,0.978,5.4,6.4,11
2432,1999,Cs,1.967,8.6,15.5,11
2432,1999,Cs,2.557,11.2,36.4,11
2432,1999,Cs,3.466,16.2,30.4,11
2432,1999,Cs,1.121,19.4,6.2,11
2432,1999,Cs,1.578,22.9,37.3,11
2432,1999,Cs,2.17,17.2,98.2,11
2432,1999,Cs,2.733,12.9,103.5,11
2432,1999,Cs,0.948,5.6,9.3,11
2432,1999,Cs,0.851,4.4,32.6,11
2441,1998,A,3.385,28.3,154,25
2441,1998,A,3.03,28.9,330.4,25
2441,1998,A,3.738,28.6,406.4,25
2441,1998,A,3.683,27.6,493,25
2441,1998,A,3.657,27.9,328.9,25
2441,1998,A,3.859,27.9,264.5,25
2441,1998,A,3.401,27.5,468.9,25
2441,1998,A,3.236,26.8,430,25
2441,1998,A,3.201,25.5,594.9,25
2441,1999,A,3.399,25.8,249.4,25
2441,1999,A,3.664,25.5,231.7,25
2441,1999,A,3.766,25.8,156.7,25
2441,1999,A,3.366,27.2,293,25
2441,1999,A,3.714,27.1,378.2,25
2441,1999,A,4.105,27.5,424.4,25
2441,1999,A,3.711,27,407.6,25
2441,1999,A,3.502,27,392.4,25
2441,1999,A,3.413,26.8,339.1,25
2441,1999,A,3.036,26.7,320.9,25
2441,1999,A,3.019,26.1,408,25
2441,1999,A,2.81,25.1,626.4,25
2441,2000,A,3.547,25.4,321.6,25
2441,2000,A,3.259,25.2,229.3,25
2441,2000,A,3.661,26,141,25
2441,2000,A,3.708,27.2,235.5,25
2451,2000,Ds(w),1.178,13,4.6,13
2451,2000,Ds(w),0.628,4.9,30.3,13
2451,2000,Ds(w),0.556,-0.6,32.9,13
2451,2001,Ds(w),0.523,4.3,13.1,13
2451,2001,Ds(w),0.641,12.2,24.1,13
2451,2001,Ds(w),1.197,18,16.8,13
2451,2001,Ds(w),3.24,21.8,165.2,13
2451,2001,Ds(w),6.244,25.1,443.4,13
2451,2001,Ds(w),8.829,25.1,98.4,13
2451,2001,Ds(w),3.488,20.6,20.1,13
2451,2001,Ds(w),2.421,14.1,62.8,13
2451,2001,Ds(w),1.021,4.7,14.1,13
2451,2001,Ds(w),0.412,-1.3,15.7,13
2459,1999,Cf,1.514,6.4,46.3,9
2459,1999,Cf,1.907,11.9,68.5,9
2459,1999,Cf,2.325,13.2,69.4,9
2459,1999,Cf,3.008,16.9,78.9,9
2459,1999,Cf,2.792,14.6,68.9,9
2459,1999,Cf,2.252,14.9,50.1,9
2459,1999,Cf,1.36,6.2,28.8,9
2459,1999,Cf,0.887,0.7,54.3,9
2459,1999,Cf,0.725,-0.1,81.5,9
2479,2001,Cf,2.995,25.1,43.2,12
2479,2001,Cf,3.841,30.2,29.1,12
2479,2001,Cf,3.093,29,34.7,12
2479,2001,Cf,2.402,22.4,155.3,12
2479,2001,Cf,1.337,16.1,78.6,12
2479,2001,Cf,0.963,12.4,24.8,12
2479,2001,Cf,0.403,6.3,33.9,12
2479,2002,Cf,0.584,4.8,51.9,12
2479,2002,Cf,0.555,5.1,16.3,12
2479,2002,Cf,1.056,8.5,55.2,12
2479,2002,Cf,2.166,16.4,120.9,12
2479,2002,Cf,2.56,19.2,93.2,12
2503,2001,Cf,1.876,18.9,117.1,10
2503,2001,Cf,1.666,13.5,180.6,10
2503,2001,Cf,1.926,14.5,70.9,10
2503,2001,Cf,0.568,2.8,78.3,10
2503,2001,Cf,0.462,3,79.8,10
2503,2001,Cf,0.704,4.9,69.5,10
2503,2001,Cf,0.691,6.1,93.7,10
2503,2001,Cf,0.906,8.6,92.4,10
2503,2001,Cf,1.341,15.7,56.2,10
2503,2001,Cf,1.108,6.6,93.1,10
2528,1999,B,0.19,9,39.2,7
2528,1999,B,0.119,24.6,23.6,7
2528,1999,B,0.325,14.9,0,7
2528,2000,B,0.113,14.5,5.6,7
2528,2000,B,0.156,27,0,7
2528,2000,B,0.133,13.1,8.9,7
2528,2001,B,0.169,11.8,4,7
2532,1999,Df,0.159,-11.8,52.8,48
2532,1999,Df,0.336,-5.5,38.9,48
2532,1999,Df,0.307,-1.9,13.3,48
2532,1999,Df,1.703,7.3,52.3,48
2532,1999,Df,3.584,14,153.4,48
2532,1999,Df,4.614,17.1,93.5,48
2532,1999,Df,5.687,21.3,182.1,48
2532,1999,Df,5.289,17.4,107.6,48
2532,1999,Df,4.436,13.2,61.7,48
2532,1999,Df,2.699,6.9,41.5,48
2532,1999,Df,1.474,2.2,33.2,48
2532,1999,Df,0.362,-6.8,15.5,48
2532,2000,Df,0.093,-11.1,28.4,48
2532,2000,Df,0.25,-5.5,31.7,48
2532,2000,Df,0.773,1.7,42,48
2532,2000,Df,2.584,4.7,49.1,48
2532,2000,Df,4.097,13.2,60.7,48
2532,2000,Df,5.193,15.7,149.6,48
2532,2000,Df,5.899,18.9,140.2,48
2532,2000,Df,5.271,18.4,110.6,48
2532,2000,Df,3.628,12.7,89.9,48
2532,2000,Df,2.405,9.1,30.1,48
2532,2000,Df,1.296,-1.3,63,48
2532,2000,Df,0.44,-14.3,30.4,48
2532,2001,Df,0.518,-8.1,27.3,48
2532,2001,Df,0.492,-11.9,31.7,48
2532,2001,Df,0.887,-4.1,18,48
2532,2001,Df,3.421,6.9,123.8,48
2532,2001,Df,4.561,13.1,101.2,48
2532,2001,Df,5.412,17.7,104.2,48
2532,2001,Df,6.013,20.3,77.1,48
2532,2001,Df,4.935,20.2,100.4,48
2532,2001,Df,3.525,13.2,101.2,48
2532,2001,Df,2.592,6.7,71.4,48
2532,2001,Df,1.375,4.9,64.3,48
2532,2001,Df,0.289,-4.4,38.3,48
2532,2002,Df,0.062,-5.9,9.8,48
2532,2002,Df,0.09,-5.1,40.9,48
2532,2002,Df,0.267,-6.7,66,48
2532,2002,Df,1.251,4.1,106.4,48
2532,2002,Df,2.741,9.1,72.4,48
2532,2002,Df,4.415,17.7,103.6,48
2532,2002,Df,5.879,21.6,123,48
2532,2002,Df,5.757,18.5,132.7,48
2532,2002,Df,4.968,14.8,145.4,48
2532,2002,Df,2.476,4,121.6,48
2532,2002,Df,0.861,-1.8,13,48
2532,2002,Df,0.362,-5.8,13.1,48
2534,2001,Df,0.639,-17.2,23.6,12
2534,2001,Df,0.587,-22.9,15.7,12
2534,2001,Df,0.731,-10.5,32.8,12
2534,2001,Df,0.853,0.3,16.3,12
2534,2001,Df,1.17,8.1,86.2,12
2534,2001,Df,1.863,12.3,95.7,12
2534,2001,Df,2.386,17.7,36.6,12
2534,2001,Df,1.773,15.8,49.9,12
2534,2001,Df,1.813,9.7,49.5,12
2534,2001,Df,1.164,0.4,25.1,12
2534,2001,Df,1.011,-7.3,21.1,12
2534,2001,Df,0.898,-16.5,27.4,12
2537,1988,Df,1.785,14.6,89.2,21
2537,1988,Df,1.679,18.8,39.5,21
2537,1988,Df,3.831,23.5,195.5,21
2537,1988,Df,2.301,22.3,112.3,21
2537,1988,Df,2.019,15.3,59.6,21
2537,1988,Df,1.393,7.5,49.3,21
2537,1988,Df,1.043,4.9,156.9,21
2537,1988,Df,0.468,-3.2,29.4,21
2537,1989,Df,0.947,5.4,90.2,21
2537,1989,Df,1.455,14.3,167.7,21
2537,1989,Df,2.47,18.8,147.9,21
2537,1989,Df,3.763,20.6,107.5,21
2537,1989,Df,5.05,19.6,151.3,21
2537,1989,Df,2.268,15.9,115,21
2537,1989,Df,1.321,9,159.2,21
2537,1989,Df,0.949,2.6,93.9,21
2537,1989,Df,0.362,-11.2,19.8,21
2537,1990,Df,0.528,2.1,73.9,21
2537,1990,Df,0.652,7.3,99.7,21
2537,1990,Df,1.893,11.8,152.9,21
2537,1990,Df,2.123,18.8,75.3,21
2541,1998,Df,0.996,6.8,19.7,8
2541,1998,Df,1.269,13.9,52.3,8
2541,1998,Df,3.063,15.5,101.8,8
2541,1998,Df,3.12,19.2,58.7,8
2541,1998,Df,3.683,19.7,60.8,8
2541,1998,Df,2.649,15,56.8,8
2541,1998,Df,2.029,9.5,39.3,8
2541,1998,Df,0.475,2.1,66.5,8
2547,1998,E,1.478,4.3,68.1,10
2547,1998,E,1.853,8.4,73.5,10
2547,1998,E,3.163,9.5,96.3,10
2547,1998,E,2.931,8.3,119.3,10
2547,1998,E,3.382,5.7,53.8,10
2547,1998,E,1.378,-1.1,26.2,10
2547,1998,E,0.472,-7,1.5,10
2547,1998,E,0.346,-13.3,3.6,10
2547,1999,E,0.403,-15.9,1.9,10
2547,1999,E,0.608,-10.9,2.6,10
2552,2000,A,3.938,26,332.2,8
2552,2000,A,3.62,25.9,338.7,8
2552,2000,A,3.243,25.7,515.5,8
2552,2000,A,3.508,26.7,168.3,8
2552,2000,A,2.673,27.1,51.4,8
2552,2000,A,2.219,26.4,46.4,8
2552,2000,A,3.923,27.5,154,8
2552,2000,A,4.279,27.2,149.2,8
2565,1995,Df,0.226,-7.7,56.5,16
2565,1995,Df,0.4,1.2,32.3,16
2565,1995,Df,0.089,3.8,57.7,16
2565,1995,Df,1.555,19.3,56.1,16
2565,1995,Df,1.919,21.9,65.4,16
2565,1995,Df,2.397,21,46.2,16
2565,1995,Df,0.83,14.1,80.2,16
2565,1995,Df,0.99,11.4,155.7,16
2565,1995,Df,0.33,0.2,101.2,16
2565,1996,Df,0.274,-6.7,106.3,16
2565,1996,Df,0.354,4.8,108.5,16
2565,1996,Df,1.62,11.6,120.1,16
2565,1996,Df,1.557,18.8,120.7,16
2565,1996,Df,1.908,19.3,85.3,16
2565,1996,Df,1.552,19.8,80.5,16
2565,1996,Df,1.347,15.6,111.6,16
2585,2001,A,5.489,26.7,157.8,14
2585,2001,A,5.206,26.6,217.7,14
2585,2001,A,3.789,27.5,102.2,14
2585,2001,A,4.579,27.7,135.7,14
2585,2001,A,3.933,26.9,65.8,14
2585,2001,A,2.809,24.7,7.7,14
2585,2001,A,2.151,23.2,2.7,14
2585,2001,A,1.889,23.4,3.8,14
2585,2001,A,1.97,24.3,0,14
2585,2001,A,3.025,25.7,2.1,14
2585,2001,A,3.026,26.2,26.2,14
2585,2001,A,5.224,26.6,116.2,14
2585,2002,A,4.05,26.4,166.4,14
2585,2002,A,4.354,26.5,153.2,14
2590,1998,Df,1.218,2.4,88.8,27
2590,1998,Df,2.176,8.2,111.6,27
2590,1998,Df,2.207,16.3,114.6,27
2590,1998,Df,4.149,17.6,134.8,27
2590,1998,Df,3.892,20.1,80.1,27
2590,1998,Df,4.705,20.7,38.3,27
2590,1998,Df,4.447,17,59.5,27
2590,1998,Df,3.205,10,76.9,27
2590,1998,Df,1.847,4,32.2,27
2590,1999,Df,1.218,-1,84.8,27
2590,1999,Df,2.176,7.2,62.3,27
2590,1999,Df,2.207,15,40.4,27
2590,1999,Df,4.149,19.4,67.5,27
2590,1999,Df,3.892,22.3,54.3,27
2590,1999,Df,4.705,19,47,27
2590,1999,Df,4.447,16.9,172.7,27
2590,1999,Df,3.205,8.6,33.9,27
2590,1999,Df,1.847,5.6,70.1,27
2590,2000,Df,1.218,4.1,73.6,27
2590,2000,Df,2.176,6.6,138.3,27
2590,2000,Df,2.207,14,168.3,27
2590,2000,Df,4.149,17.9,119,27
2590,2000,Df,3.892,18.5,92.2,27
2590,2000,Df,4.705,18.8,62.1,27
2590,2000,Df,4.447,14.9,62.3,27
2590,2000,Df,3.205,9.9,97.4,27
2590,2000,Df,1.847,2.5,46,27
2656,1998,Df,3.306,16.3,128.4,78
2656,1998,Df,3.474,19.4,56.5,78
2656,1998,Df,4.354,19.5,74.2,78
2656,1998,Df,3.586,15.4,67.2,78
2656,1998,Df,2.241,8.7,57.3,78
2656,1999,Df,4.854,11.3,106.1,78
2656,1999,Df,5.184,14.4,75.7,78
2656,1999,Df,4.903,18.7,116.8,78
2656,1999,Df,6.946,16.4,150,78
2656,1999,Df,4.106,13,57.3,78
2656,1999,Df,4.326,6.4,50.1,78
2656,2000,Df,1.821,2.6,29,78
2656,2000,Df,3.001,10.4,38.4,78
2656,2000,Df,4.881,13.1,98.8,78
2656,2000,Df,5.506,16.5,107.7,78
2656,2000,Df,1.264,-1,44.9,78
2656,2001,Df,4.475,4.7,134.3,78
2656,2001,Df,4.526,11.1,84.1,78
2656,2001,Df,7.029,15.7,81.5,78
2656,2001,Df,6.459,17.8,86.2,78
2656,2001,Df,7.408,18.5,95.2,78
2656,2001,Df,2.592,7.1,81.5,78
2656,1997,Cf,0.78,12.2,180,78
2656,1997,Cf,1.704,17.1,153.1,78
2656,1997,Cf,2.878,26.3,104.4,78
2656,1997,Cf,2.034,22.3,77.5,78
2656,1998,Cf,0.411,6.6,131.5,78
2656,1998,Cf,2.143,14,297,78
2656,1998,Cf,2.911,21.6,91.5,78
2656,1998,Cf,3.423,24.7,213.9,78
2656,1998,Cf,3.683,26.7,123.1,78
2656,1998,Cf,3.037,25.6,49,78
2656,1998,Cf,2.142,24.7,18.7,78
2656,1999,Cf,1.077,7.2,127.7,78
2656,1999,Cf,2.561,16.3,99.5,78
2656,1999,Cf,3.554,19.4,108.1,78
2656,1999,Cf,2.938,24,151.3,78
2656,1999,Cf,3.275,26.4,252.3,78
2656,1999,Cf,3.515,25.5,42.1,78
2656,1999,Cf,1.697,21.4,16.4,78
2656,2000,Cf,3.157,21.1,140.6,78
2656,2000,Cf,3.959,23.9,108.6,78
2656,2000,Cf,4.009,25.5,120.5,78
2656,2000,Cf,3.809,24.9,57.4,78
2656,2000,Cf,3.357,21.7,81.7,78
2656,2000,Cf,2.005,16.3,0,78
2656,2000,Cf,1.102,8.1,96.9,78
2656,2001,Cf,0.441,7.6,75.7,78
2656,2001,Cf,1.088,16.2,67.4,78
2656,2001,Cf,1.884,20.1,84.1,78
2656,2001,Cf,2.032,22.9,84.3,78
2656,2001,Cf,2.378,25.6,112,78
2656,2001,Cf,2.573,25.2,84.9,78
2656,2001,Cf,2.068,20.2,95.3,78
2656,2001,Cf,1.512,14.2,24,78
2656,2001,Cf,0.756,11.8,35.5,78
2656,2001,Cf,1.103,7.6,121.6,78
2656,2000,Cs,0.306,9.1,31.8,78
2656,2000,Cs,0.461,11.1,89.6,78
2656,2000,Cs,0.713,14.4,56.9,78
2656,2000,Cs,2.392,19.5,29,78
2656,2000,Cs,4.12,23.7,25.8,78
2656,2000,Cs,4.175,24.6,21.1,78
2656,2000,Cs,3.378,27,33.4,78
2656,2000,Cs,2.682,22.4,62.3,78
2656,2000,Cs,2.638,17.5,145,78
2656,2000,Cs,1.093,14,117.6,78
2656,2001,Cs,2.695,8.6,56.7,78
2656,2001,Cs,1.079,13.1,72.4,78
2656,2001,Cs,1.177,13,65.2,78
2656,2001,Cs,2.601,19.4,39.9,78
2656,2001,Cs,2.552,22.7,20.5,78
2656,2001,Cs,3.435,25.8,6.9,78
2656,2001,Cs,3.877,27,11.7,78
2656,2001,Cs,3.558,20,40.6,78
2656,2001,Cs,2.697,19.7,37.8,78
2656,2001,Cs,1.619,12.1,85.2,78
2656,2001,Cs,0.489,6.3,25.9,78
2686,1999,Cf,2.399,30.3,268.9,13
2686,1999,Cf,2.449,31,183.1,13
2686,1999,Cf,1.686,27.7,20.4,13
2686,1999,Cf,0.809,22.3,45.1,13
2686,1999,Cf,0.452,15.6,26.4,13
2686,1999,Cf,0.265,9.4,6.2,13
2686,2000,Cf,0.257,6.8,103.5,13
2686,2000,Cf,0.707,7.2,100.3,13
2686,2000,Cf,1.197,13.7,133.9,13
2686,2000,Cf,2.573,18.1,250.1,13
2686,2000,Cf,3.17,24.8,156.9,13
2686,2000,Cf,2.807,26.8,400.4,13
2686,2000,Cf,2.589,32.3,31.8,13
2692,1997,A,1.9,21.9,50.5,11
2692,1997,A,1.44,21.2,32.5,11
2692,1997,A,1.296,21.3,7.2,11
2692,1997,A,1.324,21.8,22.6,11
2692,1997,A,1.382,22.3,28.9,11
2692,1997,A,1.152,22.5,121.7,11
2692,1997,A,4.262,24.4,334.7,11
2692,1997,A,3.168,27.4,156.3,11
2692,1998,A,3.715,27.7,158.9,11
2692,1998,A,3.628,27.3,283.1,11
2692,1998,A,3.513,25.1,57.8,11
2694,1996,Cf,0.692,7.7,45.7,12
2694,1996,Cf,0.544,6.1,76.1,12
2694,1996,Cf,0.973,9.5,116.8,12
2694,1996,Cf,1.61,16.4,87.6,12
2694,1996,Cf,2.611,22,70.6,12
2694,1996,Cf,3.344,25.3,70,12
2694,1996,Cf,3.657,26.3,151.4,12
2694,1996,Cf,3.916,24.7,131.5,12
2694,1996,Cf,3.008,22.6,257,12
2694,1996,Cf,1.937,17.2,141.5,12
2694,1996,Cf,1.008,9.1,58.3,12
2694,1996,Cf,1.028,8.9,67.4,12
2701,1996,Cf,1.149,16.1,0.3,13
2701,1996,Cf,1.647,15.7,0.8,13
2701,1996,Cf,1.108,21.6,11.7,13
2701,1996,Cf,1.128,27.7,3.2,13
2701,1996,Cf,3.221,29.1,37.6,13
2701,1996,Cf,1.246,30.4,0,13
2701,1996,Cf,2.648,28.8,106.9,13
2701,1996,Cf,6.229,27.4,112.5,13
2701,1996,Cf,1.278,23.6,52.5,13
2701,1996,Cf,0.978,19.6,22.4,13
2701,1996,Cf,1.476,15.6,26.2,13
2701,1997,Cf,1.017,12,3.7,13
2701,1997,Cf,0.74,14.7,32.8,13
2705,1998,Cs,2.077,21,13.9,24
2705,1998,Cs,0.859,22.8,16.5,24
2705,1998,Cs,0.858,17.2,43.7,24
2705,1998,Cs,1.573,11.6,11.5,24
2705,1998,Cs,1.21,7.1,14.5,24
2705,1999,Cs,0.613,3.2,33.3,24
2705,1999,Cs,0.676,5,15.4,24
2705,1999,Cs,1.046,7.9,41.3,24
2705,1999,Cs,0.626,10.4,45.4,24
2705,1999,Cs,0.603,15.3,48.9,24
2705,1999,Cs,0.841,18.5,25.6,24
2705,1999,Cs,0.35,21.5,27,24
2705,1999,Cs,1.667,20.7,29.2,24
2705,1999,Cs,1.216,16.3,88.6,24
2705,1999,Cs,1.569,11.7,94.1,24
2705,1999,Cs,1.077,5.4,15.6,24
2705,1999,Cs,0.763,4,42.9,24
2705,2000,Cs,0.77,1.2,20.1,24
2705,2000,Cs,0.938,7.6,8.7,24
2705,2000,Cs,1.556,8.8,39.7,24
2705,2000,Cs,1.829,7.8,109.6,24
2705,2000,Cs,1.635,15.1,76,24
2705,2000,Cs,0.548,19.3,14.8,24
2705,2000,Cs,0.579,19.4,18.4,24
2746,1997,Df,2.693,17.5,70.9,22
2746,1997,Df,4.588,16.7,24.1,22
2746,1997,Df,2.749,9.3,84.1,22
2746,1997,Df,0.815,1.2,45.8,22
2746,1997,Df,0.412,-1.6,39,22
2746,1998,Df,0.556,1.6,8.9,22
2746,1998,Df,1.132,7.7,41.1,22
2746,1998,Df,1.715,13.2,82.3,22
2746,1998,Df,2.958,15.2,99.9,22
2746,1998,Df,3.115,12.2,80.3,22
2746,1998,Df,1.901,9.9,30.8,22
2746,1998,Df,1.106,4.4,60.8,22
2746,1998,Df,0.373,-4.3,7.4,22
2746,1999,Df,0.962,3.7,37.1,22
2746,1999,Df,1.78,6.2,23.8,22
2746,1999,Df,2.873,17.1,34.4,22
2746,1999,Df,2.644,16.3,52.2,22
2746,1999,Df,2.533,12.9,46.1,22
2746,1999,Df,1.996,10.6,30.3,22
2746,2000,Df,2.526,9.4,35.6,22
2746,2000,Df,3.528,15.6,100.1,22
2746,2000,Df,4.005,13.5,76.4,22
2756,1999,A,3.05,23.6,0,12
2756,1999,A,2.506,24.6,26.2,12
2756,1999,A,6.438,26.6,133.3,12
2756,1999,A,6.46,25.8,212.2,12
2756,1999,A,6.8,26,276.4,12
2756,2000,A,6.6,25.9,238.8,12
2756,2000,A,6.44,25.7,292.3,12
2756,2000,A,6.055,26,234.4,12
2756,2000,A,5.866,25.2,253.9,12
2756,2000,A,5.375,24.5,76.8,12
2756,2000,A,4.73,23.6,0,12
2756,2000,A,5.398,23.5,25.1,12
2757,2000,Cf,3.395,28,116.1,13
2757,2000,Cf,3.929,27.2,154.5,13
2757,2000,Cf,3.121,24.6,187,13
2757,2000,Cf,2.15,18.8,50.5,13
2757,2000,Cf,2.218,14.2,96.6,13
2757,2000,Cf,1.655,8.6,111.8,13
2757,2001,Cf,2.052,8.5,43.6,13
2757,2001,Cf,2.723,15,34.2,13
2757,2001,Cf,1.875,14.6,277.3,13
2757,2001,Cf,2.121,19.5,48.7,13
2757,2001,Cf,2.463,22.4,32.6,13
2757,2001,Cf,4.076,25.4,291.7,13
2757,2001,Cf,5.163,26.6,114.8,13
2771,1999,Cf,4.423,22.5,163.2,13
2771,1999,Cf,4.84,27.6,15.5,13
2771,1999,Cf,3.682,25,32.8,13
2771,1999,Cf,3.051,18.6,109,13
2771,1999,Cf,4.244,13.9,19.2,13
2771,1999,Cf,1.365,10.6,44.3,13
2771,1999,Cf,0.969,2.3,40.7,13
2771,2000,Cf,1.497,0.2,3.9,13
2771,2000,Cf,1.499,5,47,13
2771,2000,Cf,3.895,8.4,62.7,13
2771,2000,Cf,2.484,12.7,24.5,13
2771,2000,Cf,1.602,20,56.1,13
2771,2000,Cf,0.639,22.3,173.4,13
2776,2001,Ds(w),1.446,17.4,17.6,8
2776,2001,Ds(w),2.042,21.1,177.5,8
2776,2001,Ds(w),4.097,24.2,474.4,8
2776,2001,Ds(w),5.848,24.3,165.7,8
2776,2001,Ds(w),3.403,19.1,21.4,8
2776,2001,Ds(w),3.128,13.4,75.1,8
2776,2001,Ds(w),1.498,3.3,8.9,8
2776,2001,Ds(w),0.857,-3.8,17.4,8
2809,2000,A,4.481,24.8,597.9,34
2809,2000,A,4.479,24.8,551.3,34
2809,2000,A,4.481,25.3,424.8,34
2809,2000,A,4.553,25.3,207.8,34
2809,2000,A,3.997,24.9,230.1,34
2809,2000,A,4.706,25.4,146.5,34
2809,2000,A,4.614,25.4,134.5,34
2809,2000,A,4.963,25.9,135.9,34
2809,2000,A,4.321,26.7,0,34
2809,2000,A,3.768,26,225.1,34
2809,2001,A,5.569,25,456.8,34
2809,2001,A,5.399,24.6,472.2,34
2809,2001,A,4.73,24.7,584.1,34
2809,2001,A,4.531,24.8,479.3,34
2809,2001,A,4.689,25.6,311.6,34
2809,2001,A,4.623,24.7,357.4,34
2809,2001,A,4.913,24.9,261.1,34
2809,2001,A,4.612,25.7,94.3,34
2809,2001,A,4.124,25.8,73.6,34
2809,2001,A,3.717,26.2,103.6,34
2809,2001,A,5.165,26.9,21.3,34
2809,2001,A,4.096,27.2,13.6,34
2809,2002,A,6.022,25.7,375.7,34
2809,2002,A,5.515,26,190.8,34
2809,2002,A,5.671,25.2,407.9,34
2809,2002,A,5.693,25.3,459,34
2809,2002,A,5.059,25.6,279.6,34
2809,2002,A,3.891,24.9,273,34
2809,2002,A,5.393,25.3,150.7,34
2809,2002,A,4.946,25.5,87.9,34
2809,2002,A,4.843,25.7,35,34
2809,2002,A,4.796,25.8,49.3,34
2809,2002,A,5.345,26.1,80.5,34
2809,2002,A,4.063,26.1,6.8,34
2833,2000,Cf,0.643,13.1,129.7,12
2833,2000,Cf,5.004,19.3,141,12
2833,2000,Cf,5.363,23.6,111.5,12
2833,2000,Cf,3.936,23.4,56.2,12
2833,2000,Cf,4.557,23.7,76.6,12
2833,2000,Cf,3.337,19.3,108,12
2833,2000,Cf,1.966,14.7,0.8,12
2833,2000,Cf,0.878,6.2,37,12
2833,2000,Cf,0.465,-1.5,41.9,12
2833,2001,Cf,0.691,1.7,60.3,12
2833,2001,Cf,1.425,4.8,47.3,12
2833,2001,Cf,1.558,5.8,135,12
2842,2000,Df,1.75,15.6,69.1,14
2842,2000,Df,2.823,23.9,102.4,14
2842,2000,Df,2.938,24.9,62.4,14
2842,2000,Df,2.138,20.7,171.1,14
2842,2000,Df,1.047,13.4,110.3,14
2842,2000,Df,0.581,7.3,90.4,14
2842,2001,Df,0.831,9.1,25.4,14
2842,2001,Df,1.403,16,76.2,14
2842,2001,Df,1.263,18.9,183.5,14
2842,2001,Df,3.15,24.9,63.6,14
2842,2001,Df,2.631,24.3,123.8,14
2842,2001,Df,2.295,19.8,115.9,14
2842,2001,Df,0.91,12.8,78.6,14
2842,2001,Df,0.475,6.3,74.7,14
2844,2001,Cf,1.561,6.6,93.1,11
2844,2001,Cf,2.237,15.7,56.2,11
2844,2001,Cf,1.054,8.6,92.4,11
2844,2001,Cf,0.772,6.1,93.7,11
2844,2001,Cf,0.875,4.9,69.5,11
2844,2001,Cf,0.436,3,79.8,11
2844,2001,Cf,1.016,2.8,78.3,11
2844,2001,Cf,2.528,14.5,70.9,11
2844,2001,Cf,2.93,13.5,180.6,11
2844,2001,Cf,3.337,18.9,117.1,11
